Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
02-07-2015,Chicago Sky,77,Connecticut Sun,74,2015,,Thursday,Chicago Sky,Connecticut Sun
02-07-2015,Washington Mystics,50,Indiana Fever,73,2015,,Thursday,Indiana Fever,Washington Mystics
02-07-2015,San Antonio Silver Stars,81,Los Angeles Sparks,86,2015,,Thursday,Los Angeles Sparks,San Antonio Silver Stars
02-07-2015,Tulsa Shock,55,Phoenix Mercury,86,2015,,Thursday,Phoenix Mercury,Tulsa Shock
03-07-2015,Tulsa Shock,95,Los Angeles Sparks,98,2015,,Friday,Los Angeles Sparks,Tulsa Shock
03-07-2015,Seattle Storm,57,Minnesota Lynx,82,2015,,Friday,Minnesota Lynx,Seattle Storm
05-07-2015,Seattle Storm,64,Atlanta Dream,72,2015,,Sunday,Atlanta Dream,Seattle Storm
05-07-2015,Phoenix Mercury,94,Los Angeles Sparks,91,2015,,Sunday,Phoenix Mercury,Los Angeles Sparks
07-07-2015,Tulsa Shock,85,Atlanta Dream,75,2015,,Tuesday,Tulsa Shock,Atlanta Dream
08-07-2015,Seattle Storm,65,Indiana Fever,88,2015,,Wednesday,Indiana Fever,Seattle Storm
08-07-2015,Los Angeles Sparks,63,San Antonio Silver Stars,70,2015,,Wednesday,San Antonio Silver Stars,Los Angeles Sparks
09-07-2015,New York Liberty,79,Washington Mystics,76,2015,,Thursday,New York Liberty,Washington Mystics
10-07-2015,Minnesota Lynx,83,Chicago Sky,90,2015,,Friday,Chicago Sky,Minnesota Lynx
10-07-2015,San Antonio Silver Stars,76,Indiana Fever,83,2015,,Friday,Indiana Fever,San Antonio Silver Stars
10-07-2015,Phoenix Mercury,94,Seattle Storm,79,2015,,Friday,Phoenix Mercury,Seattle Storm
11-07-2015,Los Angeles Sparks,67,Tulsa Shock,82,2015,,Saturday,Tulsa Shock,Los Angeles Sparks
12-07-2015,New York Liberty,76,Atlanta Dream,84,2015,,Sunday,Atlanta Dream,New York Liberty
12-07-2015,Connecticut Sun,76,Chicago Sky,96,2015,,Sunday,Chicago Sky,Connecticut Sun
12-07-2015,San Antonio Silver Stars,49,Minnesota Lynx,66,2015,,Sunday,Minnesota Lynx,San Antonio Silver Stars
12-07-2015,Seattle Storm,60,Phoenix Mercury,70,2015,,Sunday,Phoenix Mercury,Seattle Storm
