Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
04-08-2017,Phoenix Mercury,92,Connecticut Sun,93,2017,,Friday,Connecticut Sun,Phoenix Mercury
04-08-2017,Seattle Storm,80,Dallas Wings,93,2017,,Friday,Dallas Wings,Seattle Storm
04-08-2017,Chicago Sky,81,Indiana Fever,70,2017,,Friday,Chicago Sky,Indiana Fever
04-08-2017,New York Liberty,74,Los Angeles Sparks,87,2017,,Friday,Los Angeles Sparks,New York Liberty
04-08-2017,Washington Mystics,74,San Antonio Silver Stars,76,2017,,Friday,San Antonio Silver Stars,Washington Mystics
05-08-2017,Atlanta Dream,86,Chicago Sky,91,2017,,Saturday,Chicago Sky,Atlanta Dream
05-08-2017,Seattle Storm,80,San Antonio Silver Stars,87,2017,,Saturday,San Antonio Silver Stars,Seattle Storm
06-08-2017,Los Angeles Sparks,79,Dallas Wings,85,2017,,Sunday,Dallas Wings,Los Angeles Sparks
06-08-2017,Minnesota Lynx,82,Indiana Fever,84,2017,,Sunday,Indiana Fever,Minnesota Lynx
06-08-2017,Phoenix Mercury,80,Washington Mystics,85,2017,,Sunday,Washington Mystics,Phoenix Mercury
08-08-2017,Minnesota Lynx,81,Atlanta Dream,72,2017,,Tuesday,Minnesota Lynx,Atlanta Dream
08-08-2017,Seattle Storm,71,Connecticut Sun,84,2017,,Tuesday,Connecticut Sun,Seattle Storm
08-08-2017,Indiana Fever,76,New York Liberty,81,2017,,Tuesday,New York Liberty,Indiana Fever
10-08-2017,San Antonio Silver Stars,74,Chicago Sky,94,2017,,Thursday,Chicago Sky,San Antonio Silver Stars
10-08-2017,Phoenix Mercury,101,Dallas Wings,100,2017,,Thursday,Phoenix Mercury,Dallas Wings
11-08-2017,New York Liberty,83,Atlanta Dream,77,2017,,Friday,New York Liberty,Atlanta Dream
11-08-2017,Los Angeles Sparks,70,Minnesota Lynx,64,2017,,Friday,Los Angeles Sparks,Minnesota Lynx
12-08-2017,Dallas Wings,88,Connecticut Sun,96,2017,,Saturday,Connecticut Sun,Dallas Wings
12-08-2017,Seattle Storm,98,Phoenix Mercury,89,2017,,Saturday,Seattle Storm,Phoenix Mercury
12-08-2017,Atlanta Dream,68,San Antonio Silver Stars,84,2017,,Saturday,San Antonio Silver Stars,Atlanta Dream
12-08-2017,Indiana Fever,80,Washington Mystics,100,2017,,Saturday,Indiana Fever,Washington Mystics
13-08-2017,Los Angeles Sparks,69,New York Liberty,83,2017,,Sunday,New York Liberty,Los Angeles Sparks
15-08-2017,Connecticut Sun,96,Atlanta Dream,75,2017,,Tuesday,Connecticut Sun,Atlanta Dream
16-08-2017,Minnesota Lynx,61,Seattle Storm,62,2017,,Wednesday,Seattle Storm,Minnesota Lynx
16-08-2017,Los Angeles Sparks,95,Washington Mystics,62,2017,,Wednesday,Los Angeles Sparks,Washington Mystics
18-08-2017,Los Angeles Sparks,115,Chicago Sky,106,2017,,Friday,Los Angeles Sparks,Chicago Sky
18-08-2017,New York Liberty,82,Connecticut Sun,70,2017,,Friday,New York Liberty,Connecticut Sun
18-08-2017,Indiana Fever,52,Minnesota Lynx,111,2017,,Friday,Indiana Fever,Minnesota Lynx
18-08-2017,San Antonio Silver Stars,78,Seattle Storm,79,2017,,Friday,Seattle Storm,San Antonio Silver Stars
18-08-2017,Phoenix Mercury,89,Washington Mystics,79,2017,,Friday,Phoenix Mercury,Washington Mystics
19-08-2017,Atlanta Dream,86,Dallas Wings,90,2017,,Saturday,Dallas Wings,Atlanta Dream
20-08-2017,Seattle Storm,103,Chicago Sky,66,2017,,Sunday,Chicago Sky,Seattle Storm
20-08-2017,Phoenix Mercury,66,Connecticut Sun,94,2017,,Sunday,Connecticut Sun,Phoenix Mercury
20-08-2017,Washington Mystics,87,Indiana Fever,82,2017,,Sunday,Washington Mystics,Indiana Fever
20-08-2017,Minnesota Lynx,61,New York Liberty,70,2017,,Sunday,New York Liberty,Minnesota Lynx
22-08-2017,San Antonio Silver Stars,55,Los Angeles Sparks,75,2017,,Tuesday,Los Angeles Sparks,San Antonio Silver Stars
22-08-2017,Phoenix Mercury,69,Minnesota Lynx,105,2017,,Tuesday,Phoenix Mercury,Minnesota Lynx
23-08-2017,Seattle Storm,83,Atlanta Dream,89,2017,,Wednesday,Atlanta Dream,Seattle Storm
23-08-2017,Dallas Wings,87,Connecticut Sun,93,2017,,Wednesday,Connecticut Sun,Dallas Wings
23-08-2017,New York Liberty,71,Indiana Fever,50,2017,,Wednesday,New York Liberty,Indiana Fever
24-08-2017,Los Angeles Sparks,82,Phoenix Mercury,67,2017,,Thursday,Los Angeles Sparks,Phoenix Mercury
25-08-2017,Chicago Sky,96,Connecticut Sun,83,2017,,Friday,Chicago Sky,Connecticut Sun
25-08-2017,Washington Mystics,66,New York Liberty,74,2017,,Friday,New York Liberty,Washington Mystics
25-08-2017,Minnesota Lynx,89,San Antonio Silver Stars,70,2017,,Friday,Minnesota Lynx,San Antonio Silver Stars
26-08-2017,Indiana Fever,74,Atlanta Dream,79,2017,,Saturday,Atlanta Dream,Indiana Fever
26-08-2017,Dallas Wings,83,Washington Mystics,78,2017,,Saturday,Dallas Wings,Washington Mystics
27-08-2017,Minnesota Lynx,67,Los Angeles Sparks,78,2017,,Sunday,Los Angeles Sparks,Minnesota Lynx
27-08-2017,Chicago Sky,62,New York Liberty,92,2017,,Sunday,New York Liberty,Chicago Sky
27-08-2017,Phoenix Mercury,75,Seattle Storm,71,2017,,Sunday,Phoenix Mercury,Seattle Storm
29-08-2017,Connecticut Sun,86,Washington Mystics,76,2017,,Tuesday,Connecticut Sun,Washington Mystics
30-08-2017,Dallas Wings,99,Chicago Sky,96,2017,,Wednesday,Dallas Wings,Chicago Sky
30-08-2017,Minnesota Lynx,80,Indiana Fever,69,2017,,Wednesday,Minnesota Lynx,Indiana Fever
01-09-2017,Atlanta Dream,56,Los Angeles Sparks,81,2017,,Friday,Los Angeles Sparks,Atlanta Dream
01-09-2017,Chicago Sky,87,Minnesota Lynx,110,2017,,Friday,Chicago Sky,Minnesota Lynx
01-09-2017,San Antonio Silver Stars,69,New York Liberty,81,2017,,Friday,New York Liberty,San Antonio Silver Stars
01-09-2017,Connecticut Sun,66,Phoenix Mercury,86,2017,,Friday,Phoenix Mercury,Connecticut Sun
01-09-2017,Seattle Storm,106,Washington Mystics,110,2017,,Friday,Washington Mystics,Seattle Storm
02-09-2017,San Antonio Silver Stars,75,Indiana Fever,71,2017,,Saturday,San Antonio Silver Stars,Indiana Fever
03-09-2017,Seattle Storm,85,Chicago Sky,80,2017,,Sunday,Seattle Storm,Chicago Sky
03-09-2017,New York Liberty,82,Dallas Wings,81,2017,,Sunday,New York Liberty,Dallas Wings
03-09-2017,Connecticut Sun,70,Los Angeles Sparks,81,2017,,Sunday,Los Angeles Sparks,Connecticut Sun
03-09-2017,Washington Mystics,72,Minnesota Lynx,86,2017,,Sunday,Minnesota Lynx,Washington Mystics
03-09-2017,Atlanta Dream,70,Phoenix Mercury,84,2017,,Sunday,Phoenix Mercury,Atlanta Dream
06-09-2017,Seattle Storm,69,Phoenix Mercury,79,2017,,Wednesday,Phoenix Mercury,Seattle Storm
06-09-2017,Dallas Wings,76,Washington Mystics,86,2017,,Wednesday,Washington Mystics,Dallas Wings
10-09-2017,Phoenix Mercury,88,Connecticut Sun,83,2017,,Sunday,Phoenix Mercury,Connecticut Sun
10-09-2017,Washington Mystics,82,New York Liberty,68,2017,,Sunday,Washington Mystics,New York Liberty
12-09-2017,Phoenix Mercury,66,Los Angeles Sparks,79,2017,,Tuesday,Los Angeles Sparks,Phoenix Mercury
12-09-2017,Washington Mystics,81,Minnesota Lynx,101,2017,,Tuesday,Washington Mystics,Minnesota Lynx
14-09-2017,Phoenix Mercury,72,Los Angeles Sparks,86,2017,,Thursday,Los Angeles Sparks,Phoenix Mercury
14-09-2017,Washington Mystics,83,Minnesota Lynx,93,2017,,Thursday,Minnesota Lynx,Washington Mystics
17-09-2017,Los Angeles Sparks,89,Phoenix Mercury,87,2017,,Sunday,Los Angeles Sparks,Phoenix Mercury
17-09-2017,Minnesota Lynx,81,Washington Mystics,70,2017,,Sunday,Minnesota Lynx,Washington Mystics
24-09-2017,Los Angeles Sparks,85,Minnesota Lynx,84,2017,,Sunday,Los Angeles Sparks,Minnesota Lynx
26-09-2017,Los Angeles Sparks,68,Minnesota Lynx,70,2017,,Tuesday,Minnesota Lynx,Los Angeles Sparks
29-09-2017,Minnesota Lynx,64,Los Angeles Sparks,75,2017,,Friday,Los Angeles Sparks,Minnesota Lynx
01-10-2017,Minnesota Lynx,80,Los Angeles Sparks,69,2017,,Sunday,Minnesota Lynx,Los Angeles Sparks
04-10-2017,Los Angeles Sparks,76,Minnesota Lynx,85,2017,,Wednesday,Minnesota Lynx,Los Angeles Sparks
18-05-2018,Dallas Wings,78,Phoenix Mercury,86,2018,,Friday,Phoenix Mercury,Dallas Wings
19-05-2018,Chicago Sky,82,Indiana Fever,64,2018,,Saturday,Chicago Sky,Indiana Fever
20-05-2018,New York Liberty,76,Chicago Sky,80,2018,,Sunday,Chicago Sky,New York Liberty
20-05-2018,Las Vegas Aces,65,Connecticut Sun,101,2018,,Sunday,Las Vegas Aces,Connecticut Sun
20-05-2018,Atlanta Dream,78,Dallas Wings,101,2018,,Sunday,Atlanta Dream,Dallas Wings
20-05-2018,Los Angeles Sparks,77,Minnesota Lynx,76,2018,,Sunday,Los Angeles Sparks,Minnesota Lynx
20-05-2018,Phoenix Mercury,87,Seattle Storm,82,2018,,Sunday,Phoenix Mercury,Seattle Storm
20-05-2018,Indiana Fever,75,Washington Mystics,82,2018,,Sunday,Washington Mystics,Indiana Fever
22-05-2018,Los Angeles Sparks,87,Indiana Fever,70,2018,,Tuesday,Los Angeles Sparks,Indiana Fever
22-05-2018,Las Vegas Aces,70,Washington Mystics,75,2018,,Tuesday,Washington Mystics,Las Vegas Aces
23-05-2018,Atlanta Dream,81,Chicago Sky,63,2018,,Wednesday,Atlanta Dream,Chicago Sky
23-05-2018,Dallas Wings,68,Minnesota Lynx,76,2018,,Wednesday,Minnesota Lynx,Dallas Wings
23-05-2018,Seattle Storm,87,Phoenix Mercury,71,2018,,Wednesday,Seattle Storm,Phoenix Mercury
24-05-2018,Los Angeles Sparks,94,Connecticut Sun,102,2018,,Thursday,Los Angeles Sparks,Connecticut Sun
24-05-2018,Washington Mystics,93,Indiana Fever,84,2018,,Thursday,Washington Mystics,Indiana Fever
25-05-2018,Minnesota Lynx,78,New York Liberty,72,2018,,Friday,Minnesota Lynx,New York Liberty
25-05-2018,Chicago Sky,91,Seattle Storm,95,2018,,Friday,Seattle Storm,Chicago Sky
26-05-2018,Dallas Wings,78,Atlanta Dream,70,2018,,Saturday,Dallas Wings,Atlanta Dream
26-05-2018,Indiana Fever,77,Connecticut Sun,86,2018,,Saturday,Connecticut Sun,Indiana Fever
27-05-2018,Phoenix Mercury,72,Los Angeles Sparks,80,2018,,Sunday,Los Angeles Sparks,Phoenix Mercury
27-05-2018,Seattle Storm,105,Las Vegas Aces,98,2018,,Sunday,Las Vegas Aces,Seattle Storm
27-05-2018,Minnesota Lynx,78,Washington Mystics,90,2018,,Sunday,Washington Mystics,Minnesota Lynx
29-05-2018,Minnesota Lynx,74,Atlanta Dream,76,2018,,Tuesday,Atlanta Dream,Minnesota Lynx
29-05-2018,Dallas Wings,89,New York Liberty,94,2018,,Tuesday,New York Liberty,Dallas Wings
29-05-2018,Washington Mystics,77,Seattle Storm,81,2018,,Tuesday,Seattle Storm,Washington Mystics
30-05-2018,Washington Mystics,103,Phoenix Mercury,95,2018,,Wednesday,Phoenix Mercury,Washington Mystics
31-05-2018,Las Vegas Aces,74,Seattle Storm,101,2018,,Thursday,Las Vegas Aces,Seattle Storm
01-06-2018,Connecticut Sun,110,Chicago Sky,72,2018,,Friday,Chicago Sky,Connecticut Sun
01-06-2018,Washington Mystics,73,Las Vegas Aces,85,2018,,Friday,Las Vegas Aces,Washington Mystics
01-06-2018,Phoenix Mercury,95,Minnesota Lynx,85,2018,,Friday,Phoenix Mercury,Minnesota Lynx
02-06-2018,Seattle Storm,90,Dallas Wings,94,2018,,Saturday,Dallas Wings,Seattle Storm
02-06-2018,New York Liberty,87,Indiana Fever,81,2018,,Saturday,New York Liberty,Indiana Fever
03-06-2018,Phoenix Mercury,78,Atlanta Dream,71,2018,,Sunday,Phoenix Mercury,Atlanta Dream
03-06-2018,Las Vegas Aces,90,Chicago Sky,95,2018,,Sunday,Chicago Sky,Las Vegas Aces
03-06-2018,Minnesota Lynx,69,Los Angeles Sparks,77,2018,,Sunday,Los Angeles Sparks,Minnesota Lynx
03-06-2018,Connecticut Sun,88,Washington Mystics,64,2018,,Sunday,Connecticut Sun,Washington Mystics
05-06-2018,Connecticut Sun,77,Atlanta Dream,82,2018,,Tuesday,Atlanta Dream,Connecticut Sun
05-06-2018,Phoenix Mercury,80,New York Liberty,74,2018,,Tuesday,Phoenix Mercury,New York Liberty
07-06-2018,Seattle Storm,88,Los Angeles Sparks,63,2018,,Thursday,Seattle Storm,Los Angeles Sparks
07-06-2018,Connecticut Sun,88,New York Liberty,86,2018,,Thursday,Connecticut Sun,New York Liberty
07-06-2018,Minnesota Lynx,88,Washington Mystics,80,2018,,Thursday,Minnesota Lynx,Washington Mystics
08-06-2018,Dallas Wings,89,Indiana Fever,83,2018,,Friday,Dallas Wings,Indiana Fever
08-06-2018,Atlanta Dream,87,Las Vegas Aces,83,2018,,Friday,Atlanta Dream,Las Vegas Aces
08-06-2018,Chicago Sky,79,Phoenix Mercury,96,2018,,Friday,Phoenix Mercury,Chicago Sky
09-06-2018,Minnesota Lynx,75,Connecticut Sun,89,2018,,Saturday,Connecticut Sun,Minnesota Lynx
10-06-2018,Chicago Sky,59,Los Angeles Sparks,77,2018,,Sunday,Los Angeles Sparks,Chicago Sky
10-06-2018,Indiana Fever,75,New York Liberty,78,2018,,Sunday,New York Liberty,Indiana Fever
10-06-2018,Las Vegas Aces,66,Phoenix Mercury,72,2018,,Sunday,Phoenix Mercury,Las Vegas Aces
10-06-2018,Atlanta Dream,67,Seattle Storm,64,2018,,Sunday,Atlanta Dream,Seattle Storm
12-06-2018,Phoenix Mercury,75,Dallas Wings,72,2018,,Tuesday,Phoenix Mercury,Dallas Wings
12-06-2018,Las Vegas Aces,101,Indiana Fever,92,2018,,Tuesday,Indiana Fever,Las Vegas Aces
12-06-2018,Atlanta Dream,64,Los Angeles Sparks,72,2018,,Tuesday,Los Angeles Sparks,Atlanta Dream
12-06-2018,Chicago Sky,85,Seattle Storm,96,2018,,Tuesday,Seattle Storm,Chicago Sky
13-06-2018,Washington Mystics,95,Connecticut Sun,91,2018,,Wednesday,Washington Mystics,Connecticut Sun
13-06-2018,Las Vegas Aces,78,New York Liberty,63,2018,,Wednesday,Las Vegas Aces,New York Liberty
14-06-2018,Indiana Fever,67,Atlanta Dream,72,2018,,Thursday,Atlanta Dream,Indiana Fever
15-06-2018,Las Vegas Aces,67,Dallas Wings,77,2018,,Friday,Dallas Wings,Las Vegas Aces
15-06-2018,Connecticut Sun,92,Seattle Storm,103,2018,,Friday,Connecticut Sun,Seattle Storm
15-06-2018,Los Angeles Sparks,97,Washington Mystics,86,2018,,Friday,Los Angeles Sparks,Washington Mystics
16-06-2018,Atlanta Dream,64,Indiana Fever,96,2018,,Saturday,Indiana Fever,Atlanta Dream
16-06-2018,New York Liberty,71,Minnesota Lynx,85,2018,,Saturday,Minnesota Lynx,New York Liberty
16-06-2018,Connecticut Sun,72,Phoenix Mercury,89,2018,,Saturday,Phoenix Mercury,Connecticut Sun
17-06-2018,Los Angeles Sparks,81,Chicago Sky,72,2018,,Sunday,Los Angeles Sparks,Chicago Sky
17-06-2018,Phoenix Mercury,92,Las Vegas Aces,80,2018,,Sunday,Phoenix Mercury,Las Vegas Aces
19-06-2018,Indiana Fever,55,Los Angeles Sparks,74,2018,,Tuesday,Los Angeles Sparks,Indiana Fever
19-06-2018,Dallas Wings,83,Minnesota Lynx,91,2018,,Tuesday,Minnesota Lynx,Dallas Wings
19-06-2018,Atlanta Dream,72,New York Liberty,79,2018,,Tuesday,New York Liberty,Atlanta Dream
19-06-2018,Las Vegas Aces,89,Seattle Storm,77,2018,,Tuesday,Las Vegas Aces,Seattle Storm
19-06-2018,Chicago Sky,60,Washington Mystics,88,2018,,Tuesday,Washington Mystics,Chicago Sky
22-06-2018,Connecticut Sun,70,Atlanta Dream,75,2018,,Friday,Atlanta Dream,Connecticut Sun
22-06-2018,Washington Mystics,93,Chicago Sky,77,2018,,Friday,Washington Mystics,Chicago Sky
22-06-2018,Los Angeles Sparks,72,Dallas Wings,101,2018,,Friday,Los Angeles Sparks,Dallas Wings
22-06-2018,New York Liberty,78,Las Vegas Aces,88,2018,,Friday,Las Vegas Aces,New York Liberty
22-06-2018,Minnesota Lynx,83,Phoenix Mercury,72,2018,,Friday,Minnesota Lynx,Phoenix Mercury
22-06-2018,Indiana Fever,63,Seattle Storm,72,2018,,Friday,Seattle Storm,Indiana Fever
24-06-2018,Phoenix Mercury,88,Chicago Sky,97,2018,,Sunday,Chicago Sky,Phoenix Mercury
24-06-2018,Seattle Storm,97,Dallas Wings,76,2018,,Sunday,Seattle Storm,Dallas Wings
24-06-2018,Connecticut Sun,87,Indiana Fever,78,2018,,Sunday,Connecticut Sun,Indiana Fever
24-06-2018,New York Liberty,54,Los Angeles Sparks,80,2018,,Sunday,Los Angeles Sparks,New York Liberty
24-06-2018,Minnesota Lynx,88,Las Vegas Aces,73,2018,,Sunday,Minnesota Lynx,Las Vegas Aces
26-06-2018,Dallas Wings,83,Los Angeles Sparks,87,2018,,Tuesday,Los Angeles Sparks,Dallas Wings
26-06-2018,Seattle Storm,79,Minnesota Lynx,91,2018,,Tuesday,Minnesota Lynx,Seattle Storm
26-06-2018,Phoenix Mercury,83,New York Liberty,69,2018,,Tuesday,Phoenix Mercury,New York Liberty
26-06-2018,Connecticut Sun,80,Washington Mystics,92,2018,,Tuesday,Washington Mystics,Connecticut Sun
27-06-2018,Atlanta Dream,80,Chicago Sky,93,2018,,Wednesday,Chicago Sky,Atlanta Dream
27-06-2018,Indiana Fever,89,Connecticut Sun,101,2018,,Wednesday,Indiana Fever,Connecticut Sun
27-06-2018,Dallas Wings,97,Las Vegas Aces,91,2018,,Wednesday,Dallas Wings,Las Vegas Aces
28-06-2018,Los Angeles Sparks,72,Seattle Storm,81,2018,,Thursday,Seattle Storm,Los Angeles Sparks
28-06-2018,New York Liberty,77,Washington Mystics,80,2018,,Thursday,Washington Mystics,New York Liberty
29-06-2018,Phoenix Mercury,95,Indiana Fever,77,2018,,Friday,Phoenix Mercury,Indiana Fever
29-06-2018,Los Angeles Sparks,78,Las Vegas Aces,94,2018,,Friday,Las Vegas Aces,Los Angeles Sparks
29-06-2018,Atlanta Dream,74,Minnesota Lynx,85,2018,,Friday,Minnesota Lynx,Atlanta Dream
29-06-2018,Chicago Sky,103,New York Liberty,99,2018,,Friday,New York Liberty,Chicago Sky
30-06-2018,Phoenix Mercury,84,Washington Mystics,74,2018,,Saturday,Phoenix Mercury,Washington Mystics
01-07-2018,New York Liberty,97,Chicago Sky,94,2018,,Sunday,New York Liberty,Chicago Sky
01-07-2018,Minnesota Lynx,76,Dallas Wings,72,2018,,Sunday,Minnesota Lynx,Dallas Wings
01-07-2018,Atlanta Dream,87,Indiana Fever,83,2018,,Sunday,Atlanta Dream,Indiana Fever
01-07-2018,Las Vegas Aces,71,Los Angeles Sparks,87,2018,,Sunday,Los Angeles Sparks,Las Vegas Aces
01-07-2018,Connecticut Sun,70,Seattle Storm,84,2018,,Sunday,Seattle Storm,Connecticut Sun
03-07-2018,Chicago Sky,85,Dallas Wings,108,2018,,Tuesday,Chicago Sky,Dallas Wings
03-07-2018,Connecticut Sun,73,Los Angeles Sparks,72,2018,,Tuesday,Connecticut Sun,Los Angeles Sparks
03-07-2018,Indiana Fever,71,Minnesota Lynx,59,2018,,Tuesday,Indiana Fever,Minnesota Lynx
03-07-2018,Seattle Storm,77,New York Liberty,62,2018,,Tuesday,Seattle Storm,New York Liberty
05-07-2018,Indiana Fever,63,Dallas Wings,90,2018,,Thursday,Dallas Wings,Indiana Fever
05-07-2018,Chicago Sky,80,Las Vegas Aces,84,2018,,Thursday,Las Vegas Aces,Chicago Sky
05-07-2018,Los Angeles Sparks,72,Minnesota Lynx,83,2018,,Thursday,Minnesota Lynx,Los Angeles Sparks
05-07-2018,Connecticut Sun,77,Phoenix Mercury,84,2018,,Thursday,Phoenix Mercury,Connecticut Sun
05-07-2018,New York Liberty,67,Washington Mystics,86,2018,,Thursday,Washington Mystics,New York Liberty
06-07-2018,Seattle Storm,95,Atlanta Dream,86,2018,,Friday,Seattle Storm,Atlanta Dream
07-07-2018,Minnesota Lynx,63,Chicago Sky,77,2018,,Saturday,Chicago Sky,Minnesota Lynx
07-07-2018,Washington Mystics,83,Los Angeles Sparks,74,2018,,Saturday,Washington Mystics,Los Angeles Sparks
07-07-2018,Connecticut Sun,90,Las Vegas Aces,94,2018,,Saturday,Las Vegas Aces,Connecticut Sun
08-07-2018,Phoenix Mercury,70,Atlanta Dream,76,2018,,Sunday,Atlanta Dream,Phoenix Mercury
08-07-2018,Dallas Wings,97,New York Liberty,87,2018,,Sunday,Dallas Wings,New York Liberty
08-07-2018,Washington Mystics,91,Seattle Storm,97,2018,,Sunday,Seattle Storm,Washington Mystics
10-07-2018,Las Vegas Aces,98,Chicago Sky,74,2018,,Tuesday,Las Vegas Aces,Chicago Sky
10-07-2018,Phoenix Mercury,72,Dallas Wings,101,2018,,Tuesday,Phoenix Mercury,Dallas Wings
10-07-2018,Los Angeles Sparks,77,Seattle Storm,75,2018,,Tuesday,Los Angeles Sparks,Seattle Storm
11-07-2018,New York Liberty,79,Connecticut Sun,76,2018,,Wednesday,New York Liberty,Connecticut Sun
11-07-2018,Minnesota Lynx,87,Indiana Fever,65,2018,,Wednesday,Minnesota Lynx,Indiana Fever
11-07-2018,Atlanta Dream,106,Washington Mystics,89,2018,,Wednesday,Washington Mystics,Atlanta Dream
12-07-2018,Dallas Wings,92,Los Angeles Sparks,77,2018,,Thursday,Dallas Wings,Los Angeles Sparks
13-07-2018,Indiana Fever,74,Atlanta Dream,98,2018,,Friday,Atlanta Dream,Indiana Fever
13-07-2018,Phoenix Mercury,87,Connecticut Sun,91,2018,,Friday,Connecticut Sun,Phoenix Mercury
13-07-2018,Las Vegas Aces,85,Minnesota Lynx,77,2018,,Friday,Las Vegas Aces,Minnesota Lynx
13-07-2018,Chicago Sky,72,Washington Mystics,88,2018,,Friday,Washington Mystics,Chicago Sky
14-07-2018,Dallas Wings,84,Seattle Storm,91,2018,,Saturday,Seattle Storm,Dallas Wings
15-07-2018,Washington Mystics,77,Atlanta Dream,80,2018,,Sunday,Atlanta Dream,Washington Mystics
15-07-2018,Phoenix Mercury,101,Indiana Fever,82,2018,,Sunday,Indiana Fever,Phoenix Mercury
15-07-2018,Los Angeles Sparks,99,Las Vegas Aces,78,2018,,Sunday,Los Angeles Sparks,Las Vegas Aces
15-07-2018,Connecticut Sun,83,Minnesota Lynx,64,2018,,Sunday,Connecticut Sun,Minnesota Lynx
15-07-2018,Chicago Sky,84,New York Liberty,107,2018,,Sunday,Chicago Sky,New York Liberty
17-07-2018,Atlanta Dream,86,Connecticut Sun,83,2018,,Tuesday,Atlanta Dream,Connecticut Sun
17-07-2018,New York Liberty,87,Dallas Wings,104,2018,,Tuesday,New York Liberty,Dallas Wings
18-07-2018,Seattle Storm,101,Chicago Sky,83,2018,,Wednesday,Chicago Sky,Seattle Storm
18-07-2018,Indiana Fever,65,Minnesota Lynx,89,2018,,Wednesday,Minnesota Lynx,Indiana Fever
19-07-2018,New York Liberty,68,Atlanta Dream,82,2018,,Thursday,Atlanta Dream,New York Liberty
19-07-2018,Washington Mystics,81,Dallas Wings,90,2018,,Thursday,Dallas Wings,Washington Mystics
19-07-2018,Las Vegas Aces,85,Phoenix Mercury,82,2018,,Thursday,Las Vegas Aces,Phoenix Mercury
20-07-2018,Dallas Wings,99,Chicago Sky,114,2018,,Friday,Dallas Wings,Chicago Sky
20-07-2018,Seattle Storm,78,Connecticut Sun,65,2018,,Friday,Seattle Storm,Connecticut Sun
20-07-2018,Indiana Fever,78,Los Angeles Sparks,76,2018,,Friday,Indiana Fever,Los Angeles Sparks
21-07-2018,Washington Mystics,95,New York Liberty,78,2018,,Saturday,Washington Mystics,New York Liberty
21-07-2018,Minnesota Lynx,80,Phoenix Mercury,75,2018,,Saturday,Minnesota Lynx,Phoenix Mercury
22-07-2018,Seattle Storm,74,Atlanta Dream,87,2018,,Sunday,Atlanta Dream,Seattle Storm
22-07-2018,Los Angeles Sparks,93,Chicago Sky,76,2018,,Sunday,Los Angeles Sparks,Chicago Sky
22-07-2018,Connecticut Sun,92,Dallas Wings,75,2018,,Sunday,Connecticut Sun,Dallas Wings
22-07-2018,Indiana Fever,74,Las Vegas Aces,88,2018,,Sunday,Las Vegas Aces,Indiana Fever
24-07-2018,Washington Mystics,68,Connecticut Sun,94,2018,,Tuesday,Connecticut Sun,Washington Mystics
24-07-2018,Seattle Storm,92,Indiana Fever,72,2018,,Tuesday,Seattle Storm,Indiana Fever
24-07-2018,Atlanta Dream,81,Los Angeles Sparks,71,2018,,Tuesday,Atlanta Dream,Los Angeles Sparks
24-07-2018,New York Liberty,82,Minnesota Lynx,85,2018,,Tuesday,Minnesota Lynx,New York Liberty
25-07-2018,Chicago Sky,101,Phoenix Mercury,87,2018,,Wednesday,Phoenix Mercury,Chicago Sky
31-07-2018,Washington Mystics,86,Atlanta Dream,71,2018,,Tuesday,Washington Mystics,Atlanta Dream
31-07-2018,Chicago Sky,92,Dallas Wings,91,2018,,Tuesday,Chicago Sky,Dallas Wings
31-07-2018,Seattle Storm,102,Phoenix Mercury,91,2018,,Tuesday,Phoenix Mercury,Seattle Storm
01-08-2018,New York Liberty,77,Connecticut Sun,92,2018,,Wednesday,Connecticut Sun,New York Liberty
01-08-2018,Phoenix Mercury,104,Las Vegas Aces,93,2018,,Wednesday,Las Vegas Aces,Phoenix Mercury
02-08-2018,Dallas Wings,78,Indiana Fever,84,2018,,Thursday,Indiana Fever,Dallas Wings
02-08-2018,Minnesota Lynx,57,Los Angeles Sparks,79,2018,,Thursday,Los Angeles Sparks,Minnesota Lynx
03-08-2018,Chicago Sky,74,Atlanta Dream,89,2018,,Friday,Atlanta Dream,Chicago Sky
03-08-2018,Minnesota Lynx,75,Seattle Storm,85,2018,,Friday,Seattle Storm,Minnesota Lynx
03-08-2018,Las Vegas Aces,0,Washington Mystics,1,2018,,Friday,Washington Mystics,Las Vegas Aces
04-08-2018,Indiana Fever,68,New York Liberty,55,2018,,Saturday,Indiana Fever,New York Liberty
05-08-2018,Las Vegas Aces,88,Connecticut Sun,109,2018,,Sunday,Las Vegas Aces,Connecticut Sun
05-08-2018,Washington Mystics,76,Dallas Wings,74,2018,,Sunday,Washington Mystics,Dallas Wings
05-08-2018,Phoenix Mercury,75,Los Angeles Sparks,78,2018,,Sunday,Los Angeles Sparks,Phoenix Mercury
05-08-2018,Atlanta Dream,86,Minnesota Lynx,66,2018,,Sunday,Atlanta Dream,Minnesota Lynx
06-08-2018,Seattle Storm,96,New York Liberty,80,2018,,Monday,Seattle Storm,New York Liberty
07-08-2018,Las Vegas Aces,100,Atlanta Dream,109,2018,,Tuesday,Atlanta Dream,Las Vegas Aces
07-08-2018,Minnesota Lynx,85,Chicago Sky,64,2018,,Tuesday,Minnesota Lynx,Chicago Sky
07-08-2018,Seattle Storm,94,Indiana Fever,79,2018,,Tuesday,Seattle Storm,Indiana Fever
